Sex;Language;Education;Age;Wages
Male;English;15;40;10.56
Male;English;13.2;19;11
Male;Other;16;49;15.5
Male;Other;14;46;17.76
Male;English;8;71;15.5
Female;English;16;50;14
Female;English;12;70;15.5
Female;English;14.5;42;15.5
Male;English;15;31;8.2
Female;English;10;56;15.5
Female;English;12.5;71;15.5
Female;English;13.5;30;16.97
Male;English;2;56;15.5
Female;English;12;61;6.7
Female;English;12;25;15.5
Female;French;11;36;15.5
Female;English;11;54;15.5
Female;English;10;62;15.5
Female;English;10.5;70;15.5
Female;Other;14;46;14
Female;English;8;49;15.5
Male;Other;8;34;15.5
Male;English;11;17;15.5
Female;English;17;85;15.5
Male;English;18;43;19.2
Male;English;11;17;7.25
Female;English;11;77;15.5
Male;English;13;70;15.5
Male;Other;7;46;16
Male;Other;13;89;15.5
Male;English;8;68;15.5
Male;English;10;72;15.5
Female;English;11;16;15.5
Female;Other;6;58;15.5
Male;English;20;39;20.16
Male;English;13;32;12.61
Female;English;11;64;15.5
Female;English;10;53;15.5
Male;English;8;72;15.5
Female;English;19;38;15.5
Female;English;19;30;13.65
Female;English;13.8;20;9
Female;English;11;19;15.5
Female;English;11;18;15.5
Male;Other;13.6;48;18.07
Female;English;10;66;15.5
Female;English;12;52;15.5
Female;English;13;39;15.5
Female;English;12.5;24;15.5
Male;English;12.5;16;6.35
Male;English;20;67;15.5
Female;English;19;39;16.01
Female;English;14;63;15.5
Male;English;19;37;20.65
Male;English;9;32;15.5
Female;English;18.8;59;15.5
Male;English;13;70;15.5
Female;English;14;46;12
Female;Other;14;28;15.5
Female;English;15.6;31;6.85
Female;English;16;52;15.5
Male;English;12;40;15
Female;Other;14;32;15.5
Male;English;7;77;15.5
Male;English;8;60;9.75
Female;English;8;53;15.5
Female;English;11;17;6.7
Male;English;18;57;15.5
Male;English;17;39;15
Female;English;1;49;15.5
Female;English;12;49;15.5
Male;English;13.5;24;10.5
Female;English;12;52;13.26
Male;English;18;34;17.75
Female;English;8;91;15.5
Female;English;12;34;14.26
Male;English;15;34;18.05
Male;English;20;58;15.5
Female;Other;12;73;15.5
Male;English;12.5;40;15.5
Female;English;12;35;15.5
Male;English;9;40;18.39
Male;English;10.5;48;18.92
Male;English;19;39;20.64
Male;Other;10;69;15.5
Female;English;14;33;15.49
Female;English;13;62;10.4
Female;English;18;70;15.5
Female;English;15;28;15.39
Male;English;12.5;36;16.8
Male;English;10;42;15.5
Female;English;20;47;15.36
Male;English;12.5;19;15.5
Male;English;10;16;15.5
Female;English;12;53;17.98
Female;Other;4;69;15.5
Male;Other;7;77;15.5
Female;English;14;48;15.5
Male;English;14;20;6.7
Male;English;12.8;20;12
Female;English;15.5;31;6.66
Female;French;9.3;46;15.5
Female;Other;13.5;53;14
Male;Other;17;28;18.43
Female;Other;12;48;11.5
Male;English;8;27;14
Female;English;8;84;15.5
Male;Other;14;22;6.03
Male;English;18;47;15.5
Female;English;12.5;51;15.5
Female;English;13;45;8.23
Female;English;13;22;15.5
Male;English;12;71;15.5
Female;French;11;51;15.36
Female;English;13;60;15.5
Male;English;8.5;57;13.75
Female;English;14;37;15.5
Male;English;9;34;7.44
Male;English;13;19;15.5
Female;English;11;81;15.5
Male;English;13.4;26;11.59
Male;English;19;73;15.5
Male;English;14;33;14.09
Male;English;13;62;15.5
Male;English;12;48;15.84
Female;English;12.5;65;8.37
Male;French;8;32;15.5
Female;French;9.5;47;15.5
Female;English;12;24;15.5
Female;English;12;26;10.2
Female;English;14;23;7.61
Male;Other;7;57;15.5
Female;Other;13;62;15.5
Male;English;10.5;63;15.5
Female;English;13;37;15.5
Male;English;10;21;6.75
Female;English;8;66;15.5
Female;English;15;35;15.5
Male;English;14;33;15.5
Male;French;12;19;15.5
Female;English;13.2;35;15.94
